movement_id,voucher_no,voucher_date,movement_type,account_id,label_no,quantity,gross_weight,net_weight,stone_weight,fine_weight,purity,location_to,value,gold_rate_used,created_at,huid,item_name,category,purity_item,gross_weight_item,net_weight_item,stone_weight_item,fine_weight_item,pieces,design_code,certificate_no,supplier_id,location,slab_id,created_at_item,account_name,account_type,credit_terms,contact,slab_label,product_category,store,item_label_no,item_huid,item_item_name,item_category,item_purity,item_gross_weight,item_net_weight,item_stone_weight,item_fine_weight,item_pieces,item_design_code,item_certificate_no,item_supplier_id,item_location,item_slab_id,item_created_at,acct_account_id,customer_name,customer_type,customer_credit_terms,customer_contact
11,V10010,2025-08-02,SALE,29,LBL00194,1.0,3.306,2.789,0.202,2.555,916,MAIN_STORE,18577.86,5509.15,2025-08-02,H746910,RING LBL00194,RING,916.0,3.402,3.05,0.121,2.794,1.0,DES5227,,5011.0,MAIN_STORE,7,2025-11-24 11:50:05.383699,Customer_29,Customer,Net 15,919719748617.0,2–5 GM,GOLD RINGS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
12,V10011,2025-08-02,SALE,47,LBL00143,1.0,7.359,7.296,0.001,6.683,916,MAIN_STORE,39951.92,5608.65,2025-08-02,H661916,EARRING LBL00143,EARRING,916.0,7.302,7.115,0.0,6.518,1.0,DES1306,,5006.0,MAIN_STORE,16,2025-11-24 11:50:05.249802,Customer_47,Customer,Net 30,917664494972.0,5–10 GM,GOLD EARRING,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
13,V10012,2025-08-02,SALE,96,LBL00173,1.0,19.598,19.191,0.038,17.579,916,MAIN_STORE,106153.8,5681.56,2025-08-02,H434652,BRACELET LBL00173,BRACELET,916.0,19.598,19.191,0.025,17.579,1.0,DES8227,,5003.0,MAIN_STORE,20,2025-11-24 11:50:05.332246,Customer_96,Customer,Net 15,919801385697.0,15–30 GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
14,V10013,2025-08-02,SALE,30,LBL00173,1.0,17.1,16.812,0.088,15.4,916,MAIN_STORE,97630.04,5626.41,2025-08-02,H434652,BRACELET LBL00173,BRACELET,916.0,19.598,19.191,0.025,17.579,1.0,DES8227,,5003.0,MAIN_STORE,20,2025-11-24 11:50:05.332246,Customer_30,Customer,Net 15,918389211119.0,15–30 GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
15,V10014,2025-08-02,SALE,83,LBL00057,1.0,9.097,9.05,0.045,5.294,585,MAIN_STORE,31232.22,5441.07,2025-08-02,H913920,PENDANT LBL00057,PENDANT,585.0,9.726,9.45,0.019,5.528,1.0,DES1685,,5019.0,MAIN_STORE,10,2025-11-24 11:50:05.016711,Customer_83,Customer,Net 0,917953850512.0,0–10 GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
16,V10015,2025-08-02,SALE,6,LBL00036,1.0,29.81,29.242,0.02,26.786,916,MAIN_STORE,148662.92,5308.03,2025-08-02,H293079,CHAIN LBL00036,CHAIN,916.0,31.068,31.051,0.016,28.443,1.0,DES6203,,5004.0,MAIN_STORE,4,2025-11-24 11:50:04.965657,Customer_6,Customer,Net 15,917334729865.0,20–50 GM,GOLD CHAINS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
17,V10016,2025-08-02,SALE,18,LBL00138,1.0,7.06,6.821,0.013,6.248,916,MAIN_STORE,40282.24,5756.35,2025-08-02,H604884,PENDANT LBL00138,PENDANT,916.0,7.459,6.938,0.004,6.355,1.0,DES3545,,5014.0,MAIN_STORE,10,2025-11-24 11:50:05.238528,Customer_18,Customer,Net 15,919896923497.0,0–10 GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
18,V10017,2025-08-02,SALE,76,LBL00108,1.0,19.055,18.607,0.0,17.044,916,MAIN_STORE,107066.64,5693.27,2025-08-02,H197649,BRACELET LBL00108,BRACELET,916.0,19.342,19.018,0.018,17.42,1.0,DES5903,,5010.0,MAIN_STORE,20,2025-11-24 11:50:05.165490,Customer_76,Customer,Net 0,918403731150.0,15–30 GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
19,V10018,2025-08-03,SALE,36,LBL00241,1.0,57.683,57.654,0.004,33.728,585,MAIN_STORE,195166.2,5542.96,2025-08-03,H240800,NECKLACE LBL00241,NECKLACE,585.0,60.793,60.51,0.002,35.398,1.0,DES1190,,5002.0,MAIN_STORE,13,2025-11-24 11:50:05.499098,Customer_36,Customer,Net 15,918705490992.0,40+ GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
20,V10019,2025-08-03,SALE,13,LBL00093,1.0,12.012,11.423,0.011,8.567,750,MAIN_STORE,53752.68,5924.16,2025-08-03,H617437,EARRING LBL00093,EARRING,750.0,13.3,13.02,0.014,9.765,1.0,DES4897,,5006.0,MAIN_STORE,17,2025-11-24 11:50:05.126499,Customer_13,Customer,Net 0,919448250186.0,10+ GM,GOLD EARRING,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
21,V10020,2025-08-03,SALE,36,LBL00102,1.0,33.833,33.711,0.0,30.879,916,MAIN_STORE,184776.47,5814.3,2025-08-03,H978721,BANGLE LBL00102,BANGLE,916.0,30.884,30.814,0.057,28.226,1.0,DES5889,,5010.0,MAIN_STORE,21,2025-11-24 11:50:05.150463,Customer_36,Customer,Net 15,918705490992.0,30+ GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
22,V10021,2025-08-03,SALE,83,LBL00055,1.0,3.056,2.669,0.0,2.445,916,MAIN_STORE,14946.21,5463.46,2025-08-03,H613742,RING LBL00055,RING,916.0,3.24,3.035,0.008,2.78,1.0,DES6323,,5014.0,MAIN_STORE,7,2025-11-24 11:50:05.011812,Customer_83,Customer,Net 0,917953850512.0,2–5 GM,GOLD RINGS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
23,V10022,2025-08-03,SALE,73,LBL00202,1.0,45.05,44.919,0.021,26.278,585,MAIN_STORE,156796.37,5379.41,2025-08-03,H207932,CHAIN LBL00202,CHAIN,585.0,45.672,45.365,0.046,26.538,1.0,DES7646,,5003.0,MAIN_STORE,4,2025-11-24 11:50:05.404225,Customer_73,Customer,Net 15,919252209366.0,20–50 GM,GOLD CHAINS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
24,V10023,2025-08-03,SALE,100,LBL00085,1.0,52.007,51.91,0.0,47.55,916,MAIN_STORE,287202.72,5838.76,2025-08-03,H251631,CHAIN LBL00085,CHAIN,916.0,54.231,53.644,0.057,49.138,1.0,DES3930,,5001.0,MAIN_STORE,5,2025-11-24 11:50:05.103591,Customer_100,Customer,Net 0,918040735415.0,50+ GM,GOLD CHAINS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
25,V10024,2025-08-03,SALE,70,LBL00034,1.0,30.211,30.053,0.0,22.54,750,MAIN_STORE,136106.28,5844.51,2025-08-03,H265725,BANGLE LBL00034,BANGLE,750.0,30.733,30.526,0.003,22.895,1.0,DES6201,,5002.0,MAIN_STORE,21,2025-11-24 11:50:04.960208,Customer_70,Customer,Net 30,917049110293.0,30+ GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
26,V10025,2025-08-03,SALE,102,LBL00092,1.0,11.441,10.966,0.032,10.045,916,MAIN_STORE,55572.94,5349.59,2025-08-03,H669902,EARRING LBL00092,EARRING,916.0,11.102,10.966,0.016,10.045,1.0,DES1094,,5019.0,MAIN_STORE,17,2025-11-24 11:50:05.123491,Customer_102,Customer,Net 15,918389042400.0,10+ GM,GOLD EARRING,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
27,V10026,2025-08-04,SALE,15,LBL00135,1.0,9.915,9.465,0.022,8.67,916,MAIN_STORE,51648.56,5483.86,2025-08-04,H303440,PENDANT LBL00135,PENDANT,916.0,11.01,10.61,0.082,9.718,1.0,DES6415,,5010.0,MAIN_STORE,11,2025-11-24 11:50:05.230497,Customer_15,Customer,Net 30,919397199956.0,10–20 GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
28,V10027,2025-08-04,SALE,65,LBL00116,1.0,46.848,46.707,0.004,35.03,750,MAIN_STORE,224331.15,5785.01,2025-08-04,H699121,CHAIN LBL00116,CHAIN,750.0,46.861,46.676,0.023,35.007,1.0,DES9666,,5002.0,MAIN_STORE,4,2025-11-24 11:50:05.185606,Customer_65,Customer,Net 15,917337057834.0,20–50 GM,GOLD CHAINS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
29,V10028,2025-08-04,SALE,39,LBL00134,1.0,43.795,43.515,0.0,39.86,916,MAIN_STORE,235270.4,5567.47,2025-08-04,H515287,BANGLE LBL00134,BANGLE,916.0,43.795,43.515,0.0,39.86,1.0,DES1477,,5005.0,MAIN_STORE,21,2025-11-24 11:50:05.227507,Customer_39,Customer,Net 0,919223115272.0,30+ GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
30,V10029,2025-08-04,SALE,14,LBL00176,1.0,28.341,28.042,0.004,16.405,585,MAIN_STORE,93728.86,5282.77,2025-08-04,H753205,BRACELET LBL00176,BRACELET,585.0,28.818,28.392,0.032,16.61,1.0,DES9422,,5003.0,MAIN_STORE,20,2025-11-24 11:50:05.341200,Customer_14,Customer,Net 30,917768360597.0,15–30 GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
31,V10030,2025-08-04,SALE,17,LBL00017,1.0,2.942,2.77,0.176,2.537,916,MAIN_STORE,18032.72,5734.19,2025-08-04,H880550,RING LBL00017,RING,916.0,2.942,2.77,0.176,2.537,1.0,DES3572,,5000.0,MAIN_STORE,7,2025-11-24 11:50:04.920603,Customer_17,Customer,Net 30,919476322069.0,2–5 GM,GOLD RINGS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
32,V10031,2025-08-04,SALE,68,LBL00153,1.0,62.165,61.981,0.061,56.775,916,MAIN_STORE,328704.57,5295.91,2025-08-04,H573858,CHAIN LBL00153,CHAIN,916.0,60.12,59.934,0.078,54.9,1.0,DES5958,,5006.0,MAIN_STORE,5,2025-11-24 11:50:05.275311,Customer_68,Customer,Net 15,917517717617.0,50+ GM,GOLD CHAINS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
33,V10032,2025-08-04,SALE,84,LBL00219,1.0,24.129,23.735,0.072,13.885,585,MAIN_STORE,80629.86,5378.74,2025-08-04,H618306,BANGLE LBL00219,BANGLE,585.0,24.129,23.735,0.024,13.885,1.0,DES2007,,5002.0,MAIN_STORE,20,2025-11-24 11:50:05.447058,Customer_84,Customer,Net 15,918244608630.0,15–30 GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
34,V10033,2025-08-04,SALE,53,LBL00059,1.0,8.524,8.314,0.02,4.864,585,MAIN_STORE,29684.47,5746.67,2025-08-04,H513296,RING LBL00059,RING,585.0,8.524,8.314,0.013,4.864,1.0,DES9784,,5016.0,MAIN_STORE,8,2025-11-24 11:50:05.021390,Customer_53,Customer,Net 0,918100558894.0,5–10 GM,GOLD RINGS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
35,V10034,2025-08-05,SALE,33,LBL00171,1.0,2.607,2.376,0.0,1.782,750,MAIN_STORE,10203.99,5564.1,2025-08-05,H436467,EARRING LBL00171,EARRING,750.0,2.577,2.316,0.076,1.738,1.0,DES4285,,5006.0,MAIN_STORE,15,2025-11-24 11:50:05.324604,Customer_33,Customer,Net 0,918610883633.0,2–5 GM,GOLD EARRING,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
36,V10035,2025-08-05,SALE,12,LBL00022,1.0,4.115,3.85,0.222,2.888,750,MAIN_STORE,21364.19,5805.42,2025-08-05,H954441,RING LBL00022,RING,750.0,4.535,4.36,0.103,3.27,1.0,DES1482,,5017.0,MAIN_STORE,7,2025-11-24 11:50:04.932563,Customer_12,Customer,Net 30,919821263164.0,2–5 GM,GOLD RINGS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
37,V10036,2025-08-05,SALE,72,LBL00151,1.0,31.473,31.132,0.037,28.517,916,MAIN_STORE,170283.56,5477.82,2025-08-05,H384685,BANGLE LBL00151,BANGLE,916.0,31.975,31.574,0.06,28.922,1.0,DES7780,,5002.0,MAIN_STORE,21,2025-11-24 11:50:05.268794,Customer_72,Customer,Net 15,917232477787.0,30+ GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
38,V10037,2025-08-05,SALE,55,LBL00193,1.0,8.29,7.768,0.015,7.115,916,MAIN_STORE,40844.21,5430.66,2025-08-05,H342948,EARRING LBL00193,EARRING,916.0,8.676,8.236,0.016,7.544,1.0,DES4666,,5004.0,MAIN_STORE,16,2025-11-24 11:50:05.381151,Customer_55,Customer,Net 30,918717120387.0,5–10 GM,GOLD EARRING,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
39,V10038,2025-08-05,SALE,74,LBL00027,1.0,7.72,7.411,0.0,6.788,916,MAIN_STORE,37682.4,5385.34,2025-08-05,H352036,PENDANT LBL00027,PENDANT,916.0,8.479,8.161,0.132,7.475,1.0,DES3502,,5013.0,MAIN_STORE,10,2025-11-24 11:50:04.944800,Customer_74,Customer,Net 0,918371454094.0,0–10 GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
40,V10039,2025-08-05,SALE,72,LBL00217,1.0,3.444,3.217,0.011,2.413,750,MAIN_STORE,15628.89,5802.16,2025-08-05,H172988,PENDANT LBL00217,PENDANT,750.0,3.372,3.139,0.006,2.354,1.0,DES2781,,5019.0,MAIN_STORE,10,2025-11-24 11:50:05.441947,Customer_72,Customer,Net 15,917232477787.0,0–10 GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
41,V10040,2025-08-05,SALE,99,LBL00250,1.0,23.703,23.21,0.067,21.26,916,MAIN_STORE,130222.72,5623.07,2025-08-05,H545405,CHAIN LBL00250,CHAIN,916.0,23.412,22.944,0.054,21.016,1.0,DES1121,,5018.0,MAIN_STORE,4,2025-11-24 11:50:05.521337,Customer_99,Customer,Net 30,919251627092.0,20–50 GM,GOLD CHAINS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
42,V10041,2025-08-06,SALE,24,LBL00008,1.0,6.518,6.347,0.018,5.814,916,MAIN_STORE,33321.64,5475.98,2025-08-06,H213132,BANGLE LBL00008,BANGLE,916.0,6.58,6.38,0.032,5.844,1.0,DES1312,,5009.0,MAIN_STORE,19,2025-11-24 11:50:04.898521,Customer_24,Customer,Net 30,917679362694.0,5–15 GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
43,V10042,2025-08-06,SALE,73,LBL00037,1.0,66.907,66.509,0.0,38.908,585,MAIN_STORE,226004.15,5677.72,2025-08-06,H862398,NECKLACE LBL00037,NECKLACE,585.0,66.907,66.509,0.009,38.908,1.0,DES1483,,5010.0,MAIN_STORE,13,2025-11-24 11:50:04.968295,Customer_73,Customer,Net 15,919252209366.0,40+ GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
44,V10043,2025-08-06,SALE,68,LBL00192,1.0,5.772,5.635,0.023,5.162,916,MAIN_STORE,29307.12,5337.55,2025-08-06,H817727,RING LBL00192,RING,916.0,5.634,5.45,0.008,4.992,1.0,DES8625,,5015.0,MAIN_STORE,8,2025-11-24 11:50:05.378425,Customer_68,Customer,Net 15,917517717617.0,5–10 GM,GOLD RINGS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
45,V10044,2025-08-06,SALE,100,LBL00084,1.0,5.354,4.789,0.008,3.592,750,MAIN_STORE,19698.95,5262.62,2025-08-06,H692960,RING LBL00084,RING,750.0,5.506,5.306,0.022,3.979,1.0,DES3459,,5005.0,MAIN_STORE,8,2025-11-24 11:50:05.100188,Customer_100,Customer,Net 0,918040735415.0,5–10 GM,GOLD RINGS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
46,V10045,2025-08-06,SALE,7,LBL00159,1.0,2.541,2.133,0.009,1.6,750,MAIN_STORE,9693.93,5528.17,2025-08-06,H261562,EARRING LBL00159,EARRING,750.0,2.541,2.237,0.078,1.678,1.0,DES4116,,5010.0,MAIN_STORE,15,2025-11-24 11:50:05.292267,Customer_7,Customer,Net 0,919231172272.0,2–5 GM,GOLD EARRING,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
47,V10046,2025-08-06,SALE,35,LBL00107,1.0,13.95,13.813,0.011,10.36,750,MAIN_STORE,60250.31,5532.39,2025-08-06,H885734,NECKLACE LBL00107,NECKLACE,750.0,14.04,13.718,0.01,10.289,1.0,DES6901,,5001.0,MAIN_STORE,11,2025-11-24 11:50:05.163016,Customer_35,Customer,Net 15,918943058119.0,10–20 GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
48,V10047,2025-08-07,SALE,86,LBL00135,1.0,11.327,11.135,0.0,10.2,916,MAIN_STORE,58863.55,5653.52,2025-08-07,H303440,PENDANT LBL00135,PENDANT,916.0,11.01,10.61,0.082,9.718,1.0,DES6415,,5010.0,MAIN_STORE,11,2025-11-24 11:50:05.230497,Customer_86,Customer,Net 0,918443831341.0,10–20 GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
49,V10048,2025-08-07,SALE,28,LBL00078,1.0,10.842,10.379,0.006,9.507,916,MAIN_STORE,54100.76,5310.79,2025-08-07,H195620,PENDANT LBL00078,PENDANT,916.0,10.25,9.97,0.081,9.133,1.0,DES2870,,5014.0,MAIN_STORE,11,2025-11-24 11:50:05.081504,Customer_28,Customer,Net 15,918596523152.0,10–20 GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
50,V10049,2025-08-07,SALE,23,LBL00111,1.0,60.386,60.3,0.07,55.235,916,MAIN_STORE,341274.38,5582.69,2025-08-07,H168079,NECKLACE LBL00111,NECKLACE,916.0,60.386,60.3,0.07,55.235,1.0,DES5797,,5015.0,MAIN_STORE,13,2025-11-24 11:50:05.173062,Customer_23,Customer,Net 30,918449606729.0,40+ GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
51,V10050,2025-08-07,SALE,46,LBL00207,1.0,33.961,33.908,0.013,31.06,916,MAIN_STORE,181141.54,5238.4,2025-08-07,H266744,BRACELET LBL00207,BRACELET,916.0,33.383,33.291,0.02,30.495,1.0,DES8903,,5012.0,MAIN_STORE,21,2025-11-24 11:50:05.417260,Customer_46,Customer,Net 30,919451001264.0,30+ GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
52,V10051,2025-08-07,SALE,41,LBL00221,1.0,9.898,9.548,0.04,8.746,916,MAIN_STORE,52733.82,5682.7,2025-08-07,H891662,PENDANT LBL00221,PENDANT,916.0,9.802,9.412,0.052,8.622,1.0,DES1003,,5004.0,MAIN_STORE,10,2025-11-24 11:50:05.451749,Customer_41,Customer,Net 0,918289924514.0,0–10 GM,GOLD NECKLACE,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
53,V10052,2025-08-07,SALE,3,LBL00104,1.0,13.405,12.825,0.0,11.748,916,MAIN_STORE,73446.21,5666.96,2025-08-07,H537211,EARRING LBL00104,EARRING,916.0,13.842,13.478,0.011,12.346,1.0,DES3920,,5005.0,MAIN_STORE,17,2025-11-24 11:50:05.155665,Customer_3,Customer,Net 30,918141669467.0,10+ GM,GOLD EARRING,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
54,V10053,2025-08-07,SALE,47,LBL00236,1.0,8.283,8.221,0.0,7.53,916,MAIN_STORE,45592.58,5646.04,2025-08-07,H500099,RING LBL00236,RING,916.0,7.754,7.381,0.087,6.761,1.0,DES8130,,5017.0,MAIN_STORE,8,2025-11-24 11:50:05.486881,Customer_47,Customer,Net 30,917664494972.0,5–10 GM,GOLD RINGS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
55,V10054,2025-08-07,SALE,112,LBL00102,1.0,33.022,32.829,0.004,30.071,916,MAIN_STORE,178738.11,5782.07,2025-08-07,H978721,BANGLE LBL00102,BANGLE,916.0,30.884,30.814,0.057,28.226,1.0,DES5889,,5010.0,MAIN_STORE,21,2025-11-24 11:50:05.150463,Customer_112,Customer,Net 30,918899277934.0,30+ GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
56,V10055,2025-08-07,SALE,15,LBL00163,1.0,15.715,15.392,0.0,11.544,750,MAIN_STORE,69062.23,5474.8,2025-08-07,H809589,BANGLE LBL00163,BANGLE,750.0,15.444,15.072,0.0,11.304,1.0,DES3174,,5006.0,MAIN_STORE,20,2025-11-24 11:50:05.301456,Customer_15,Customer,Net 30,919397199956.0,15–30 GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
57,V10056,2025-08-08,SALE,14,LBL00061,1.0,10.269,10.173,0.0,9.318,916,MAIN_STORE,54472.48,5334.3,2025-08-08,H214626,EARRING LBL00061,EARRING,916.0,10.654,10.25,0.015,9.389,1.0,DES8399,,5014.0,MAIN_STORE,17,2025-11-24 11:50:05.026324,Customer_14,Customer,Net 30,917768360597.0,10+ GM,GOLD EARRING,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
58,V10057,2025-08-08,SALE,23,LBL00020,1.0,16.824,16.253,0.148,14.888,916,MAIN_STORE,96278.58,5764.43,2025-08-08,H625600,BANGLE LBL00020,BANGLE,916.0,17.186,16.62,0.082,15.224,1.0,DES5519,,5001.0,MAIN_STORE,20,2025-11-24 11:50:04.928409,Customer_23,Customer,Net 30,918449606729.0,15–30 GM,GOLD BRACELET,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
59,V10058,2025-08-08,SALE,88,LBL00115,1.0,41.652,41.097,0.064,37.645,916,MAIN_STORE,235889.34,5930.37,2025-08-08,H741784,CHAIN LBL00115,CHAIN,916.0,41.652,41.097,0.031,37.645,1.0,DES1953,,5003.0,MAIN_STORE,4,2025-11-24 11:50:05.183035,Customer_88,Customer,Net 30,917211789542.0,20–50 GM,GOLD CHAINS,MAIN_STORE,,,,,,,,,,,,,,,,,,,,,
